iter	Logloss
0	0.5972551347
1	0.5624357207
2	0.539748164
3	0.532277929
4	0.5277460618
5	0.5235482252
6	0.5201771097
7	0.517587634
8	0.5156715895
9	0.5140033327
10	0.5130615446
11	0.5121475656
12	0.5102483346
13	0.50942875
14	0.5084890732
15	0.5079769068
16	0.5070486005
17	0.5062269991
18	0.5054260127
19	0.5045598526
20	0.5038715212
21	0.5023460841
22	0.5001344651
23	0.4995966801
24	0.4983682639
25	0.4978962435
26	0.4975048008
27	0.4966654375
28	0.4963904555
29	0.4957402324
30	0.4952064339
31	0.4946407238
32	0.4940023782
33	0.4937242877
34	0.4930178121
35	0.4924223903
36	0.4918041486
37	0.4913618313
38	0.490385802
39	0.4899031281
40	0.4890983142
41	0.4881000092
42	0.4878230066
43	0.4873909607
44	0.486840825
45	0.4861891678
46	0.4856057347
47	0.4853097253
48	0.4849163163
49	0.484344619
50	0.4839129489
51	0.4834613174
52	0.4829844688
53	0.4825872866
54	0.4822449645
55	0.4816899839
56	0.4810958022
57	0.4806376849
58	0.4799813367
59	0.4793654863
60	0.4790331781
61	0.4787028568
62	0.4782316853
63	0.4778094493
64	0.4774641191
65	0.4770076297
66	0.4766398406
67	0.4762146578
68	0.4758698864
69	0.4754274667
70	0.474984629
71	0.4746845862
72	0.4742276239
73	0.4738380942
74	0.4735101123
75	0.473182189
76	0.4727940164
77	0.4723442183
78	0.4719645018
79	0.4716114723
80	0.4711021575
81	0.4707131962
82	0.4703361474
83	0.4700333427
84	0.4696777141
85	0.4693523179
86	0.4691369114
87	0.4687143527
88	0.468415245
89	0.4681738512
90	0.4677672513
91	0.4671276516
92	0.4666401183
93	0.4664003856
94	0.4659998429
95	0.4657123742
96	0.4652139291
97	0.4648783284
98	0.4645894891
99	0.4643239467
