iter	Passed	Remaining
0	481	47659
1	798	39145
2	1143	36965
3	1449	34780
4	1765	33541
5	1990	31181
6	2218	29478
7	2458	28273
8	2780	28110
9	3078	27705
10	3317	26838
11	3579	26252
12	3876	25943
13	4078	25053
14	4378	24813
15	4593	24115
16	4820	23534
17	5148	23454
18	5456	23261
19	5673	22692
20	5881	22125
21	6190	21948
22	6457	21617
23	6720	21281
24	7033	21100
25	7318	20829
26	7640	20657
27	7930	20391
28	8156	19969
29	8461	19743
30	8722	19413
31	8969	19060
32	9266	18814
33	9541	18522
34	9883	18355
35	10167	18076
36	10390	17692
37	10674	17415
38	11003	17211
39	11315	16973
40	11514	16569
41	11778	16265
42	12064	15992
43	12388	15767
44	12637	15445
45	12971	15227
46	13306	15005
47	13590	14723
48	13880	14447
49	14131	14131
50	14447	13880
51	14714	13582
52	15025	13324
53	15285	13021
54	15566	12736
55	15754	12378
56	16052	12109
57	16378	11859
58	16660	11577
59	16982	11321
60	17224	11012
61	17524	10741
62	17801	10455
63	18029	10141
64	18262	9833
65	18530	9545
66	18823	9271
67	19162	9017
68	19431	8730
69	19738	8459
70	20039	8185
71	20290	7890
72	20546	7599
73	20805	7310
74	21083	7027
75	21362	6746
76	21666	6471
77	21899	6176
78	22150	5888
79	22400	5600
80	22677	5319
81	22976	5043
82	23232	4758
83	23530	4481
84	23810	4201
85	24114	3925
86	24411	3647
87	24668	3363
88	24948	3083
89	25238	2804
90	25553	2527
91	25818	2245
92	26128	1966
93	26454	1688
94	26712	1405
95	26980	1124
96	27316	844
97	27632	563
98	27877	281
99	28176	0
