Model,Train_Samples,Train_Time_sec,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Specificity,Test_ROC_AUC,Test_Avg_Precision,Val_Accuracy,Val_F1
ExtraTrees_100,5492627,171.28334093093872,0.9881058885912792,0.9871638141809291,0.45647258338044094,0.624275222265172,0.9998686713852319,0.9501269046418805,0.7664498980602218,0.9873375286017266,0.5998061588616238
RandomForest_100,5492627,230.73906064033508,0.9819528477613564,0.9960652051714446,0.16694931222913134,0.2859678850964254,0.9999854079316924,0.9158969736886203,0.6094211502376217,0.9814119268938821,0.27535050537985
XGBoost,5492627,9.428407669067383,0.794125684917538,0.0750764406115249,0.7518371961560204,0.13652032835591088,0.7950613492243274,0.8521999978956655,0.13040114683576157,0.7929343019296887,0.13382585321197207
CatBoost,5492627,29.23656964302063,0.7890637534160899,0.07153562778330035,0.7299792726587526,0.13030207051582107,0.7903710415540414,0.8370856490712589,0.11544908964948229,0.7873334862011262,0.13023698627794153
HistGradientBoosting,5492627,26.00173592567444,0.9779154033365511,0.24403815580286167,0.009641354186294832,0.018549848942598188,0.9993391877637864,0.8355242524486889,0.12310716235426675,0.9775584039766071,0.021990705585760714
LightGBM,5492627,6.3487255573272705,0.7764857441977457,0.06658629215647925,0.7163494755354564,0.12184666337255111,0.7778163039263781,0.8186538934668683,0.09036997790476348,0.7746152575531907,0.12394956844939778
AdaBoost,5492627,277.73357915878296,0.9783532067057336,0.0,0.0,0.0,1.0,0.7857894853621763,0.09932876886889513,0.9778831899558891,0.0
NaiveBayes,5492627,1.1185531616210938,0.9575609457640485,0.0594589923083571,0.0648200489918975,0.06202389001577643,0.9773135029441234,0.6997685154883333,0.043619513879011855,0.9553753821985222,0.06411062225015714
DecisionTree,5492627,65.94672322273254,0.975610817278277,0.428546124415474,0.3799070410150116,0.4027634426502414,0.9887912069586099,0.6843524254902195,0.17637510717900992,0.974991479595286,0.38125948406676785
LogisticRegression_SGD,5492627,162.92360734939575,0.10788521937755782,0.022004128760587882,0.9255700018843037,0.042986318093211406,0.08979333462114127,0.5086170691776288,0.02202373267828145,0.11549974874389371,0.04415897230028101
LinearSVC,5492627,60.029701948165894,0.5619539354715903,0.033629620380000703,0.6935494001633064,0.06414872372099778,0.5590422878139553,,,0.5769049290105667,0.06533464103207609
